,Team,Opponent,Wins,Losses,Ttl_Pts_Scored,Ttl_Pts_Allowed,Ttl_OFirst_Downs,Ttl_OYards,Ttl_OPassYards,Ttl_ORushYards,Ttl_OTurnovers,Ttl_DFirst_Downs,Ttl_DYards,Ttl_DPassYards,Ttl_DRushYards,Ttl_DTurnovers,Avg_Pts_Scored,Avg_Pts_Allowed,Avg_OFirst_Downs,Avg_OYards,Avg_OPassYards,Avg_ORushYards,Avg_OTurnovers,Avg_DFirst_Downs,Avg_DYards,Avg_DPassYards,Avg_DRushYards,Avg_DTurnovers
0,clt,"['jax', 'htx', 'rav', 'ram', 'oti', 'jax', 'cle', 'nor', 'car', 'nwe']",5,5,242,248,184,3361,2181,1180,15,207,3585,2288,1297,16,6.05,6.358974358974359,4.6,67.22,43.62,25.652173913043477,0.5,5.175,71.7,45.76,27.595744680851062,0.5333333333333333
1,nyg,"['dal', 'crd', 'sfo', 'sea', 'mia', 'buf', 'was', 'nyj', 'rai', 'dal']",2,8,118,266,161,2592,1456,1136,13,198,3685,2373,1312,10,3.2777777777777777,6.82051282051282,4.025,51.84,30.97872340425532,23.666666666666668,0.43333333333333335,4.95,73.7,47.46,27.333333333333332,0.3333333333333333
2,htx,"['rav', 'clt', 'jax', 'pit', 'atl', 'nor', 'car', 'tam', 'cin']",5,4,217,192,187,3353,2469,884,8,182,3060,2218,842,12,6.2,5.485714285714286,5.194444444444445,74.5111111111111,54.86666666666667,22.1,0.2962962962962963,5.055555555555555,68.0,49.28888888888889,21.05,0.4444444444444444
3,min,"['tam', 'phi', 'sdg', 'car', 'kan', 'chi', 'sfo', 'gnb', 'atl', 'nor']",6,4,233,209,210,3581,2724,857,17,192,3232,2244,988,14,5.825,5.225,5.25,71.62,54.48,19.477272727272727,0.5666666666666667,4.8,64.64,44.88,22.976744186046513,0.4666666666666667
4,nyj,"['buf', 'dal', 'nwe', 'kan', 'den', 'phi', 'nyg', 'sdg', 'rai']",4,5,144,172,133,2548,1613,935,14,169,2770,1524,1246,15,4.114285714285714,4.777777777777778,3.6944444444444446,56.62222222222222,35.84444444444444,23.375,0.5185185185185185,4.694444444444445,61.55555555555556,34.63636363636363,29.666666666666668,0.5555555555555556
5,det,"['kan', 'sea', 'atl', 'gnb', 'car', 'tam', 'rav', 'rai', 'sdg']",7,2,241,203,199,3658,2407,1251,10,174,2796,2084,712,11,6.885714285714286,5.970588235294118,5.527777777777778,81.28888888888889,53.48888888888889,29.093023255813954,0.37037037037037035,4.833333333333333,62.13333333333333,47.36363636363637,19.243243243243242,0.4074074074074074
6,phi,"['nwe', 'min', 'tam', 'was', 'ram', 'nyj', 'mia', 'was', 'dal']",8,1,252,195,210,3391,2224,1167,13,180,2910,2313,597,11,7.0,5.416666666666667,5.833333333333333,75.35555555555555,49.422222222222224,28.463414634146343,0.48148148148148145,5.0,64.66666666666667,51.4,16.135135135135137,0.4074074074074074
7,gnb,"['chi', 'atl', 'nor', 'det', 'rai', 'den', 'min', 'ram', 'pit']",3,6,179,182,160,2799,1880,919,12,181,2885,1688,1197,8,4.972222222222222,5.2,4.444444444444445,62.2,41.77777777777778,22.975,0.4444444444444444,5.027777777777778,64.11111111111111,37.51111111111111,29.195121951219512,0.2962962962962963
8,sdg,"['mia', 'oti', 'min', 'rai', 'dal', 'kan', 'chi', 'nyj', 'det']",4,5,239,215,181,3149,2242,907,7,205,3539,2621,918,15,6.638888888888889,6.142857142857143,5.027777777777778,69.97777777777777,49.82222222222222,23.256410256410255,0.25925925925925924,5.694444444444445,78.64444444444445,58.24444444444445,23.53846153846154,0.5555555555555556
9,oti,"['nor', 'sdg', 'cle', 'cin', 'clt', 'rav', 'atl', 'pit', 'tam']",3,6,154,180,157,2625,1667,958,10,170,3042,2047,995,7,4.529411764705882,5.142857142857143,4.485714285714286,59.65909090909091,37.88636363636363,22.80952380952381,0.37037037037037035,4.722222222222222,67.6,45.48888888888889,24.875,0.25925925925925924
10,dal,"['nyg', 'nyj', 'crd', 'nwe', 'sfo', 'sdg', 'ram', 'phi', 'nyg']",6,3,269,165,203,3412,2351,1061,10,150,2476,1494,982,14,7.472222222222222,4.852941176470588,5.8,75.82222222222222,52.24444444444445,25.261904761904763,0.37037037037037035,4.166666666666667,55.022222222222226,34.74418604651163,23.951219512195124,0.5185185185185185
11,ram,"['sea', 'sfo', 'cin', 'clt', 'phi', 'crd', 'pit', 'dal', 'gnb']",3,6,178,204,175,3023,2079,944,10,182,3060,1955,1105,8,5.085714285714285,5.828571428571428,4.861111111111111,67.17777777777778,46.2,24.205128205128204,0.37037037037037035,5.055555555555555,68.0,44.43181818181818,26.30952380952381,0.2962962962962963
12,mia,"['sdg', 'nwe', 'den', 'buf', 'nyg', 'car', 'phi', 'nwe', 'kan']",6,3,285,225,203,3918,2587,1331,13,184,2902,1946,956,9,7.916666666666667,6.25,5.638888888888889,87.06666666666666,57.48888888888889,31.69047619047619,0.48148148148148145,5.111111111111111,64.4888888888889,43.24444444444445,24.512820512820515,0.3333333333333333
13,car,"['atl', 'nor', 'sea', 'min', 'det', 'mia', 'htx', 'clt', 'chi']",1,8,153,242,173,2480,1667,813,11,177,2775,1588,1187,7,4.25,6.722222222222222,4.805555555555555,55.111111111111114,37.044444444444444,20.325,0.4074074074074074,4.916666666666667,61.666666666666664,36.09090909090909,26.977272727272727,0.25925925925925924
14,crd,"['was', 'nyg', 'dal', 'sfo', 'cin', 'ram', 'sea', 'rav', 'cle', 'atl']",2,8,176,263,179,2959,1694,1265,13,223,3426,2084,1342,10,4.631578947368421,6.575,4.589743589743589,60.38775510204081,34.57142857142857,26.354166666666668,0.43333333333333335,5.575,68.52,42.53061224489796,27.958333333333332,0.3333333333333333
15,sea,"['ram', 'det', 'car', 'nyg', 'cin', 'crd', 'cle', 'rav', 'was']",6,3,200,201,173,2983,2085,898,10,190,3189,2145,1044,13,5.714285714285714,5.742857142857143,4.942857142857143,66.28888888888889,47.38636363636363,21.902439024390244,0.37037037037037035,5.277777777777778,70.86666666666666,47.666666666666664,25.463414634146343,0.48148148148148145
16,cle,"['cin', 'pit', 'oti', 'rav', 'sfo', 'clt', 'sea', 'crd', 'rav']",6,3,214,170,177,2999,1668,1331,19,113,2184,1360,824,15,6.114285714285714,5.151515151515151,4.916666666666667,66.64444444444445,37.90909090909091,30.953488372093023,0.7037037037037037,3.53125,50.7906976744186,32.38095238095238,20.097560975609756,0.5555555555555556
17,chi,"['gnb', 'tam', 'kan', 'den', 'was', 'min', 'rai', 'sdg', 'nor', 'car']",3,7,204,255,190,3228,1877,1351,18,187,3242,2482,760,9,5.1,6.375,4.75,64.56,38.30612244897959,28.145833333333332,0.6,4.675,64.84,49.64,18.095238095238095,0.3
18,tam,"['min', 'chi', 'phi', 'nor', 'det', 'atl', 'buf', 'htx', 'oti']",4,5,178,173,159,2760,2057,703,8,179,3187,2402,785,16,5.085714285714285,5.088235294117647,4.416666666666667,61.333333333333336,45.71111111111111,18.5,0.2962962962962963,4.972222222222222,70.82222222222222,53.37777777777778,20.128205128205128,0.5925925925925926
19,pit,"['sfo', 'cle', 'rai', 'htx', 'rav', 'ram', 'jax', 'oti', 'gnb']",6,3,156,182,147,2552,1623,929,8,183,3417,2236,1181,18,4.588235294117647,5.055555555555555,4.2,56.71111111111111,36.06666666666667,23.225,0.2962962962962963,5.083333333333333,75.93333333333334,49.68888888888889,26.84090909090909,0.6666666666666666
20,rav,"['htx', 'cin', 'clt', 'cle', 'pit', 'oti', 'det', 'crd', 'sea', 'cle']",7,3,270,157,209,3627,2078,1549,14,173,2736,1731,1005,15,6.75,4.361111111111111,5.225,72.54,41.56,30.98,0.4666666666666667,4.435897435897436,54.72,35.326530612244895,22.84090909090909,0.5
21,den,"['rai', 'was', 'mia', 'chi', 'nyj', 'kan', 'gnb', 'kan', 'buf']",4,5,196,248,164,2717,1661,1056,13,200,3616,2191,1425,16,5.6,7.085714285714285,4.555555555555555,60.37777777777778,38.627906976744185,25.142857142857142,0.48148148148148145,5.555555555555555,80.35555555555555,48.68888888888889,33.92857142857143,0.5925925925925926
22,jax,"['clt', 'kan', 'htx', 'atl', 'buf', 'clt', 'nor', 'pit', 'sfo']",6,3,196,190,172,2952,1993,959,17,167,3179,2401,778,18,5.764705882352941,5.428571428571429,4.777777777777778,65.6,44.28888888888889,22.833333333333332,0.6296296296296297,4.638888888888889,70.64444444444445,53.355555555555554,19.45,0.6666666666666666
23,kan,"['det', 'jax', 'chi', 'nyj', 'min', 'den', 'sdg', 'den', 'mia']",7,2,208,143,193,3318,2384,934,17,159,2594,1584,1010,13,5.942857142857143,4.205882352941177,5.361111111111111,73.73333333333333,52.977777777777774,23.94871794871795,0.6296296296296297,4.416666666666667,57.644444444444446,37.714285714285715,23.488372093023255,0.48148148148148145
24,cin,"['cle', 'rav', 'ram', 'oti', 'crd', 'sea', 'sfo', 'buf', 'htx']",5,4,182,192,172,2715,2042,673,8,197,3456,2230,1226,18,5.352941176470588,5.333333333333333,4.914285714285715,60.333333333333336,46.40909090909091,18.18918918918919,0.2962962962962963,5.472222222222222,76.8,49.55555555555556,29.19047619047619,0.6666666666666666
25,nwe,"['phi', 'mia', 'nyj', 'dal', 'nor', 'rai', 'buf', 'mia', 'was', 'clt']",2,8,141,238,172,2945,1996,949,16,194,3265,2288,977,10,3.810810810810811,5.95,4.410256410256411,58.9,39.92,22.069767441860463,0.5333333333333333,4.85,65.3,45.76,22.204545454545453,0.3333333333333333
26,was,"['crd', 'den', 'buf', 'phi', 'chi', 'atl', 'nyg', 'phi', 'nwe', 'sea']",4,6,217,274,203,3345,2466,879,15,202,3809,2643,1166,13,5.7105263157894735,6.85,5.075,66.9,49.32,19.977272727272727,0.5,5.05,76.18,52.86,24.291666666666668,0.43333333333333335
27,atl,"['car', 'gnb', 'det', 'jax', 'htx', 'was', 'tam', 'oti', 'min', 'crd']",4,6,189,217,199,3353,2049,1304,16,182,3088,2004,1084,10,4.973684210526316,5.425,4.975,67.06,42.6875,27.166666666666668,0.5333333333333333,4.55,61.76,40.08,23.565217391304348,0.3333333333333333
28,sfo,"['pit', 'ram', 'nyg', 'crd', 'dal', 'cle', 'min', 'cin', 'jax']",6,3,252,143,202,3450,2238,1212,9,167,2741,1993,748,17,7.0,4.205882352941177,5.611111111111111,76.66666666666667,49.733333333333334,27.545454545454547,0.3333333333333333,4.771428571428571,60.91111111111111,44.28888888888889,19.17948717948718,0.6296296296296297
29,rai,"['den', 'buf', 'pit', 'sdg', 'gnb', 'nwe', 'chi', 'det', 'nyg', 'nyj']",5,5,172,205,176,2754,1921,833,18,200,3343,1987,1356,11,4.3,5.256410256410256,4.4,55.08,39.204081632653065,19.833333333333332,0.6,5.0,66.86,39.74,28.25,0.36666666666666664
30,nor,"['oti', 'car', 'gnb', 'tam', 'nwe', 'htx', 'jax', 'clt', 'chi', 'min']",5,5,214,198,193,3374,2374,1000,12,179,3127,1991,1136,18,5.487179487179487,5.076923076923077,4.825,67.48,47.48,22.727272727272727,0.4,4.589743589743589,62.54,39.82,23.666666666666668,0.6
31,buf,"['nyj', 'rai', 'was', 'mia', 'jax', 'nyg', 'nwe', 'tam', 'cin', 'den']",5,5,262,184,220,3701,2536,1165,18,190,3306,2154,1152,15,6.55,4.842105263157895,5.5,74.02,50.72,25.32608695652174,0.6,4.75,66.12,43.08,25.043478260869566,0.5
